rt,subj_idx,highDimCoh,irrDimCoh,lowDimCoh,errorLev,errorDim,response
2.915748874,2,1,-1,1,0,0,3
2.315918633,2,1,1,1,0,0,3
5.181767554,2,1,1,-1,1,3,1
4.7818764,2,1,-1,1,0,0,3
3.549010558,2,-1,1,-1,1,3,1
2.115968981,2,-1,1,1,0,0,3
6.098398124,2,-1,1,1,1,3,1
2.316007074,2,-1,1,-1,1,3,1
9.94703901,2,-1,-1,-1,0,0,3
3.465647166,2,1,-1,1,0,0,3
4.182130677,2,1,-1,-1,0,0,3
8.414139874,2,1,1,1,0,0,3
2.249238061,2,-1,-1,1,0,0,3
4.515275154,2,-1,1,1,0,0,3
4.565423226,2,1,-1,1,0,0,3
2.182757011,2,1,1,1,0,0,3
2.349294235,2,-1,1,-1,1,3,1
5.448212745,2,-1,-1,1,0,0,3
3.26580467,2,-1,1,1,1,3,1
2.715778394,2,1,1,1,0,0,3
8.364127031,2,1,1,-1,0,0,3
4.748516796,2,-1,1,-1,0,0,3
3.465754322,2,1,-1,-1,0,0,3
1.816106533,2,-1,-1,1,0,0,3
2.465831897,2,1,-1,-1,0,0,3
2.016088181,2,-1,1,1,0,0,3
2.832565986,2,1,1,-1,0,0,3
1.899421932,2,-1,1,1,0,0,3
3.165687523,2,-1,1,-1,0,0,3
2.849196889,2,-1,1,-1,0,0,3
7.314491497,2,-1,1,-1,2,2,2
3.365814057,2,1,-1,-1,0,0,3
1.499645782,2,1,-1,1,0,0,3
3.015916128,2,1,-1,1,1,3,1
2.199348069,2,1,-1,1,1,3,1
3.365587672,2,1,1,-1,0,0,3
1.21632338,2,1,1,-1,1,3,1
3.115685546,2,-1,-1,1,1,3,1
4.098789319,2,-1,1,-1,1,3,1
4.432116112,2,-1,-1,-1,0,0,3
3.798870727,2,-1,1,-1,1,3,1
1.416408864,2,1,-1,-1,0,0,3
7.014584073,2,-1,1,1,1,3,1
1.366427714,2,1,1,1,0,0,3
4.048773457,2,-1,-1,1,0,0,3
7.081089573,2,-1,-1,1,1,3,1
5.065104927,2,1,1,1,1,3,1
5.581645426,2,-1,-1,-1,0,0,3
2.899208223,2,1,1,-1,0,0,3
3.149126649,2,1,-1,-1,0,0,3
1.916025366,2,1,-1,-1,0,0,3
1.08301506,2,-1,-1,1,1,3,1
1.199597395,2,1,-1,1,0,0,3
2.099346832,2,-1,-1,-1,0,0,3
2.016121082,2,-1,-1,1,1,3,1
2.266050676,2,1,1,1,0,0,3
1.582857345,2,-1,1,-1,1,3,1
2.232771061,2,-1,-1,-1,0,0,3
1.766333658,2,1,1,1,0,0,3
7.14797178,2,1,1,-1,2,1,2
2.116147071,2,-1,-1,1,0,0,3
2.566055596,2,1,1,-1,2,1,2
3.348959486,2,-1,1,1,0,0,3
3.215953617,2,-1,-1,-1,0,0,3
5.181762422,2,-1,-1,-1,0,0,3
1.783061152,2,1,-1,1,0,0,3
2.782622869,2,-1,-1,-1,0,0,3
