response,rxtime,subj,highDimCoh,irrDimCoh,lowDimCoh
1,1.54952732147649,1,1,2,2
1,1.24949523527175,1,1,1,2
4,1.03316461062059,1,2,2,1
4,0.966406162129715,1,2,2,2
4,0.849650867749006,1,2,1,1
2,2.03279001754709,1,1,2,2
2,1.09947179653682,1,1,2,1
4,1.08302170084789,1,2,2,2
3,0.899532106006518,1,1,1,2
3,0.766493939328939,1,1,1,1
3,1.04973604925908,1,2,2,1
2,0.966418537776917,1,2,2,1
3,0.899752454599366,1,2,1,1
3,1.33288669935428,1,1,1,1
2,1.08293718355708,1,2,2,1
1,0.933052896754816,1,2,2,2
3,1.24964525364339,1,1,2,2
2,1.76594518008642,1,1,2,1
3,0.699977572774515,1,1,1,1
3,1.73281286726706,1,1,1,1
1,1.0830651668366,1,2,1,2
3,0.699862568639219,1,2,1,2
3,0.83306705346331,1,2,1,1
1,0.999869601801038,1,1,1,2
3,0.750053804367781,1,1,1,2
1,1.09965894231573,1,2,2,1
3,1.48292130604386,1,1,1,1
4,1.2828789872583,1,1,2,1
3,1.14959360728972,1,1,2,2
2,1.1663232143037,1,2,1,2
3,1.00008542300202,1,2,2,1
2,1.41612512688152,1,2,1,1
1,1.01638670801185,1,2,2,1
1,5.31519419816323,1,2,1,1
3,1.13315498153679,1,2,2,2
1,0.94970100466162,1,1,1,1
3,1.13299983181059,1,2,1,2
3,1.19981834804639,1,2,2,1
2,0.833141609793529,1,1,1,1
3,0.799822754925117,1,1,2,1
3,0.783195776399225,1,2,1,1
1,0.716562292771414,1,1,2,1
1,0.683048142585903,1,2,2,1
3,0.849890233250335,1,1,1,2
3,0.883040958549827,1,1,1,2
1,0.900112860836089,1,1,1,1
3,1.04978525033221,1,1,2,1
3,1.5663655938115,1,1,2,2
1,0.916440708562732,1,1,2,2
3,1.46626414265484,1,1,1,1
3,1.09954122174531,1,2,2,1
1,0.833000646904111,1,1,1,1
2,1.04967175563797,1,1,1,2
4,1.63285479415208,1,2,2,2
4,2.09951888490468,1,2,2,2
1,0.949671423761174,1,2,2,1
2,2.3326663505286,1,2,1,2
3,1.39959081541747,1,2,1,1
2,3.84885942330584,2,2,2,1
3,2.3825681139715,2,2,2,1
4,7.29779207427055,2,2,2,1
3,1.64968159608543,2,1,2,2
1,6.21477248659357,2,1,1,1
4,3.81566130742431,2,2,1,1
1,7.84774560527876,2,1,1,2
3,3.48236107686535,2,1,2,1
3,0.233350608963519,2,2,2,1
4,1.7995906341821,2,1,1,2
4,1.89960062503815,2,1,2,2
4,3.66559319570661,2,1,2,2
4,3.14903790550306,2,2,1,1
2,3.19917450705543,2,1,1,2
2,2.13270522886887,2,2,2,2
3,2.71584298973903,2,2,1,1
2,3.0824765637517,2,1,2,1
2,2.24935336690396,2,2,1,1
2,2.7324316338636,2,1,2,2
2,1.79955471446738,2,2,2,2
1,1.73303683847189,2,2,1,2
2,1.94943447317928,2,2,1,2
2,3.11587269138545,2,2,2,1
4,3.43233646079898,2,1,2,2
4,3.06552872061729,2,2,1,1
3,2.29928350448608,2,2,1,1
1,1.86614412814379,2,1,2,2
4,2.21595422038808,2,2,2,2
3,1.93272418435663,2,1,1,2
2,1.94953166833147,2,2,1,2
2,1.71611404884607,2,2,1,1
3,3.66554157994688,2,1,1,1
4,2.56588897621259,2,1,2,1
3,5.3817697269842,2,2,2,2
4,1.43288612598553,2,2,2,2
3,1.5993798840791,2,1,1,2
3,0.433207593392581,2,1,1,1
3,2.08284874213859,2,1,2,1
3,2.33266303036362,2,1,1,1
4,1.29971665563062,2,1,1,1
2,5.51518158102408,2,1,1,1
1,4.41535752778873,2,2,2,2
1,2.49930439190939,2,1,2,1
2,4.39860709337518,2,1,2,2
2,5.4983825488016,2,1,1,1
3,4.28198521584272,2,2,1,1
4,1.88305756030604,2,2,2,2
4,1.76602184958756,2,2,1,2
2,1.46622127993032,2,2,2,1
2,2.11605591280386,2,2,1,2
3,2.91574887372553,2,2,1,2
1,2.315918632783,2,2,2,2
1,5.18176755402237,2,2,2,1
1,4.78187640011311,2,2,1,2
3,3.54901055805385,2,1,2,1
1,2.11596898082644,2,1,2,2
4,6.09839812433347,2,1,2,2
4,2.31600707396865,2,1,2,1
2,9.94703900953755,2,1,1,1
1,3.4656471661292,2,2,1,2
2,4.18213067669421,2,2,1,1
2,8.4141398742795,2,2,2,2
4,2.24923806078732,2,1,1,2
3,4.51527515379712,2,1,2,2
3,4.56542322551832,2,2,1,2
4,2.18275701068342,2,2,2,2
4,2.34929423499852,2,1,2,1
2,5.44821274466813,2,1,1,2
3,3.26580467028543,2,1,2,2
3,2.71577839413658,2,2,2,2
4,8.36412703059614,2,2,2,1
3,4.7485167956911,2,1,2,1
4,3.46575432177633,2,2,1,1
3,1.81610653270036,2,1,1,2
1,2.46583189675584,2,2,1,1
4,2.01608818070963,2,1,2,2
4,2.83256598608568,2,2,2,1
3,1.89942193171009,2,1,2,2
1,3.16568752331659,2,1,2,1
3,2.84919688897207,2,1,2,1
4,7.31449149688706,2,1,2,1
1,3.3658140571788,2,2,1,1
2,1.49964578170329,2,2,1,2
2,3.01591612771153,2,2,1,2
1,2.19934806926176,2,2,1,2
2,3.36558767175302,2,2,2,1
1,1.21632338035852,2,2,2,1
2,3.11568554583937,2,1,1,2
2,4.09878931939602,2,1,2,1
1,4.43211611220613,2,1,1,1
4,3.79887072741985,2,1,2,1
2,1.41640886384994,2,2,1,1
3,7.01458407333121,2,1,2,2
2,1.36642771400511,2,2,2,2
2,4.04877345729619,2,1,1,2
3,7.08108957344666,2,1,1,2
2,5.06510492693633,2,2,2,2
3,5.5816454263404,2,1,1,1
1,2.8992082234472,2,2,2,1
1,3.14912664890289,2,2,1,1
3,1.91602536616847,2,2,1,1
4,1.08301506005228,2,1,1,2
3,1.19959739549085,2,2,1,2
2,2.09934683190659,2,1,1,1
4,2.01612108200788,2,1,1,2
1,2.26605067588389,2,2,2,2
4,1.58285734476522,2,1,2,1
3,2.23277106136084,2,1,1,1
3,1.76633365778252,2,2,2,2
2,7.14797177957371,2,2,2,1
4,2.11614707112312,2,1,1,2
2,2.56605559587479,2,2,2,1
3,3.34895948553458,2,1,2,2
4,3.21595361689106,2,1,1,1
1,5.18176242196932,2,1,1,1
4,1.78306115232408,2,2,1,2
2,2.7826228691265,2,1,1,1
4,1.61630780482665,2,1,2,1
1,2.88234278466552,2,2,2,1
4,2.08260816941038,2,2,2,2
1,2.1161757465452,2,1,1,2
2,1.93292249832302,2,1,2,2
3,4.49874355876818,2,2,1,2
1,2.28278360329568,2,2,1,2
1,4.93196292500943,2,1,1,2
4,4.23205900238827,2,2,1,1
1,3.06565851531923,2,1,1,1
2,2.01604290353134,2,2,2,1
1,2.11611447157338,2,1,1,2
2,2.48294273717329,2,2,1,1
3,1.46616543829441,2,1,1,2
2,1.54964866442606,2,2,2,1
4,1.16638901690021,2,2,2,1
1,2.63240172062069,2,2,2,1
4,1.49952715542167,2,1,2,1
4,1.48291225079447,2,1,2,2
1,3.36559129413217,2,1,1,2
4,1.41634517395869,2,2,1,1
4,4.46552703063935,2,2,1,1
3,1.66619870252907,2,2,1,2
2,1.91621220996603,2,1,1,1
3,1.9494812595658,2,2,2,2
1,3.98231715802103,2,1,2,1
1,4.51523742265999,2,2,1,1
1,3.66562036192045,2,2,1,1
3,1.84958536690101,2,1,1,2
4,3.04902489576489,2,1,2,1
3,1.91640780726448,2,2,1,2
4,1.23308981256559,2,1,2,2
3,2.3825844139792,2,2,1,2
1,1.43304610485211,2,1,2,1
4,1.2994914771989,2,2,2,2
2,1.46611020062119,2,2,1,2
4,1.3996478645131,2,1,1,2
2,2.69915986713022,2,1,2,1
2,1.71630300534889,2,2,2,1
2,1.36626139609143,2,2,2,1
1,3.49897930212319,2,1,1,1
4,1.79960934910923,2,2,2,2
1,5.06520755542442,2,1,1,1
3,1.51628362713382,2,1,2,1
1,4.06544963689521,2,1,1,1
1,4.89838840486482,2,1,2,2
2,2.33284745924175,2,1,1,1
4,2.93272841069847,2,2,2,1
2,1.74956782953814,2,1,1,2
1,1.98273642454296,2,2,2,2
2,1.36638696445152,2,2,1,1
1,1.43301290180534,2,1,2,2
2,1.33300079777837,2,1,1,1
4,3.51556160720065,2,2,1,1
2,9.78033275110647,2,1,1,2
1,1.71622875100002,2,1,2,1
2,1.8996250750497,2,1,1,2
2,1.23303880030289,2,2,1,1
1,1.64960190793499,2,2,1,1
3,1.78282027784735,2,2,2,2
2,1.49955643480644,2,1,2,1
2,1.79953962191939,2,2,1,2
4,2.04942152369767,2,1,2,1
3,2.06612426647916,2,1,1,1
3,1.26626106351614,2,1,2,2
4,1.06627971818671,2,2,2,2
4,1.19981593312696,2,1,2,1
3,1.54956414690241,2,2,1,1
3,1.68289661500603,2,2,2,1
1,5.04850119072944,2,2,1,2
2,1.81611558841541,2,2,1,2
1,1.91612769244239,2,2,1,2
1,2.44917563907802,2,1,1,1
3,1.5327753778547,2,2,2,2
2,6.06492442218587,2,2,1,1
3,8.46415845304728,2,2,2,1
1,8.75359401106834e-05,2,2,2,2
2,1.41625944897532,2,2,2,2
1,5.16506813140586,2,2,2,1
2,1.78290449315682,2,1,1,2
4,1.46632028650492,2,1,1,2
3,2.21616702293977,2,1,2,2
1,2.43255258398131,2,2,1,2
3,3.78211214300245,2,2,2,1
4,6.24806387303397,2,2,1,1
2,1.31644988479093,2,2,1,1
2,1.98282275302336,2,1,2,1
2,2.91580773377791,2,2,2,1
2,3.1659471122548,2,1,2,2
1,1.24993019783869,2,2,2,2
3,5.89824170665815,2,1,2,1
3,6.14843179564923,2,1,1,1
3,4.38209874089807,2,1,1,2
4,1.29963334556669,2,1,1,2
4,3.08264680625871,2,1,2,2
4,6.86457934975624,2,1,1,2
1,2.31603846605867,2,2,2,1
4,4.46543557057157,2,1,2,2
4,4.13219902990386,2,1,1,2
3,1.41639588447288,2,1,2,2
4,1.83291794080287,2,1,2,2
2,1.74945674929768,2,1,1,1
3,6.46475460240617,2,2,1,2
1,3.6489465967752,2,1,1,1
2,1.83291643112898,2,2,2,1
1,1.999409283977,2,1,2,1
3,2.24948014318943,2,2,2,2
3,3.68229805119336,2,2,1,1
2,1.76609519822523,2,1,1,1
2,2.13287667790428,2,1,2,2
3,1.73299820162356,2,1,1,2
3,2.51584111806005,2,1,2,2
